city,summary,date_time,Latitude,Longitude,,
Santa Fe,"The craft was first spotted in a completely stationary position about a hand below the moon, flashing as a very bright rectangle.",7/5/19 20:30,35.697473,-105.982146,,
Ruidoso,"1 Bright object split into 5, while moving together.",6/18/18 21:30,33.347226,-105.680284,,
Cochiti Lake,"Color shifting of several craft in night sky.  ((NUFORC Note:  Possibly ""twinkling"" stars??  PD))",5/15/19 21:00,35.64809,-106.33753,,
Ruidoso,"Outside of Ruidoso, N.M. there were 4 round objects in my camera lens.  The object were moving in twos near each other.",6/7/19 16:00,33.347226,-105.680284,,
Ruidoso,"There were four , they were spaced exactly the same distance vertically , the top two were orangish yellow the bottom two weer blueish",6/7/19 16:00,33.347226,-105.680284,,
Taos,3 “stars” in a straight line calmly moving in a linear path!  ((NUFORC Note:  Space Link satellites.  PD))((anonymous source)),5/26/19 21:40,36.429239,-105.554532,,
Los Alamos,3 lights connected by red string.  ((NUFORC Note:  Space Link satellites.  PD)),5/26/19 21:41,35.849514,-106.288482,,
Belen,4 bright white lights.,6/22/19 22:30,34.651051,-106.695247,,
Belen,"I was the passenger in a car, in the back seat on the passengers side. We were driving south on I-25. Our destination was Belen. My unc",6/22/19 22:30,34.651051,-106.695247,,
Socorro,On June 13th I was coming home from the grocery store with my daughter. I was driving down a local Street when I looked to my right (ea,6/12/19 21:45,34.0584,-106.89142,,
Santa Fe,"Bright clear sky and very little breeze, I noticed something flashing, it was even sparkling, flitting erratically.",6/24/19 14:23,35.697473,-105.982146,,
Albuquerque,"saw what looked almost like a rocket, very high elevation, shoot across the sky in 3 bursts of speed and color from rear of whatever it",6/26/19 05:30,35.199592,-106.644831,,
Ruidoso,"We saw two bright yellowish orange lights, then as soon as we noticed them they spread out in a perfect line two in the center.",6/18/19 21:35,33.347226,-105.680284,,
Artesia,"Five orange, and yellowish circular lights appeared in the night sky.",6/5/19 21:26,32.771797,-104.219669,,
Aztec,Saw many oval lights zigzagging in the night sky and then disappear.,10/15/94 22:00,36.842198,-107.818288,,
Las Cruces,I saw a strange oval lighted object in the sky when I was flying from Austin to San Diego.,8/22/18 21:45,32.290052,-106.753893,,
Fairacres,"3 Orange/Red/Yellow fireball gently pulsating lights that separately lit up and disappeared in front of Organ Mtns in Las Cruces, NM",4/25/19 20:30,32.319619,-107.028854,,
Grenville,Single bright red orb close to top of car then suspended in the sky,6/29/18 23:00,36.369783,-103.505541,,
Santa Fe,Two oval-shaped stationary orbs brightly reflecting light.  ((anonymous report)),4/9/19 19:00,35.697473,-105.982146,,
Espanola,Very bright large round object nw of moon and farther away than moon.,4/9/19 19:30,35.993867,-106.088977,,
Taos,In the northern sky just west of the Big Dipper constellation over Taos Mountain on Taos Pueblo. I noticed it because it looked star li,3/22/19 20:00,36.429239,-105.554532,,
Albuquerque,I first noticed 3 aircraft (no noise or typical aircraft strobes) travelling SW to NE in a steady s  ((Starlink satellites?)),12/21/19 18:30,35.199592,-106.644831,,
,Chain of lights- move steadily then disappears.,12/21/19 18:43,34.434684,-106.131618,,
Deming,I saw and photographed an object hovering about 1000 feet in the air for about an hour.  ((NUFORC Note:  Starlink satellites?  PD)),12/22/19 16:00,32.079682,-107.683073,,
Corona,lights seen outside Corona NM,7/15/88,34.249031,-105.596655,,
Santa Fe,"My sighting in Santa Fe,New Mexico",10/21/66 22:15,35.697473,-105.982146,,
Cannon Afb,"Air Force scrambles armed fighters after ""bogeys"" and subsequent cover-up (1976)",1/6/76 01:00,34.38472,-103.31652,,
Albuquerque,My friend and I were relaxing in a park during the summer of 1986 not far from a friends house where we had left about a half hour earl,7/15/86 19:30,35.199592,-106.644831,,
Alamogordo,saw 5 objects doing amazing manuevers for 20 minutes,11/27/88 21:00,32.870046,-105.948967,,
,"9pm on the 3rd. of may saw the bright  colored star moving fast over the trigo fire, it stopped steady for 45 min. I took a picture.",5/3/06 21:00,0,0,,
Carlsbad,"Silent football field sized and shaped metalic UFO is sited on Pecos River in Carlsbad, New Mexico.",3/1/06 00:30,32.416897,-104.46539,,
Las Cruces,Bright object in sky moving at extremely fast speed and changing course abruptly,6/11/07 09:00,32.290052,-106.753893,,
,UFO's dont exsist,7/7/06 00:00,0,0,,
Silver City,"Unusual cloudlike formation with extending tendrils seen over Silver City, New Mexico",7/12/06 05:00,32.853738,-108.330764,,
Carlsbad,bouncing ufo,3/20/08 17:00,32.416897,-104.46539,,
Gallup,2 shape shifting objects and one small turquoise object sighted over NW New Mexico in daylight,3/22/08 14:00,35.534983,-108.737949,,
Gallup,12 object formation over NW New Mexico on Easter Sunday,3/23/08 13:45,35.534983,-108.737949,,
Espanola,brilliantly flashing flying objects,7/14/06 01:00,35.993867,-106.088977,,
Albuquerque,"white, cigar shaped, silent and seemed to glow",7/19/06 19:20,35.199592,-106.644831,,
Medanales,"tHIS IS ALL I SAW.. LOOKING WEST FROM WINDOW AT NIGHT , I SAW A RED BRILLIANT LIGHT ON LAND ABOUT 11/2 ACRE AWAY. AS I STARED AT THE LI",9/1/84 21:00,36.17558,-106.18336,,
Albuquerque,Hoovering Probe!..,7/20/06,35.199592,-106.644831,,
Socorro,Triangular shaped object seen over Socorro New Mexico,4/20/96 00:00,34.0584,-106.89142,,
Isleta,"At 1:30 am,  observed large black triangular craft flying southbound over Isleta Reservation,  NM.",5/1/07 01:30,34.90727,-106.68919,,
Albuquerque,The night when I saw the disk UFO!,12/8/79 20:30,35.199592,-106.644831,,
Santa Fe,"1997 Santa fe, MN A enormous ""metropolis"" looking ship landing and our memories wiped away, lost time",4/1/97 22:00,35.697473,-105.982146,,
Santa Fe,"Huge triangular object in Jemez Mountians, New Mexico",6/1/00 21:30,35.697473,-105.982146,,
Roswell,3 high speed objects caught on film.,10/31/01 20:00,33.637061,-104.377926,,
Flora Vista, Hwy. 574),Black Triangular Craft Emits Buzzing Sounds.,4/1/02 12:00,36.79932,-108.08058,
Jemez Springs,Large bright light passed from West To East through a Valley,9/28/06 03:16,35.786457,-106.648083,,
Gallup,huge bright white  horeshoe lit object,4/18/08 21:25,35.534983,-108.737949,,
Roswell,Freaky Lights and Sound i feel very cold 10 degrees,8/15/04 00:16,33.637061,-104.377926,,
Gallup, on I-40),Bright circular object turns into 3 discs over western New Mexican skys.,3/12/07 19:00,35.534983,-108.737949,
Albuquerque,Three bright lights that were huddled together than began to seperate and disappeared.,10/10/03 22:00,35.199592,-106.644831,,
Los Lunas,What I saw shone a light like I have never seen before or since and aerodynamic capabilities beyond what we have.,3/15/72 01:00,34.76577,-106.712287,,
Kingston,10/20/07 21:00 Kingston NM Triangle 2-3 mins Three Black Triangular aircraft manuvered acros the horizon and then hovered over our loca,9/20/07 21:00,32.917018,-107.706144,,
Los Alamos,"9,24,07 A huge dark gray object in the clear blue sky at 100miles altitude travelling at 50,00o MPH  to the SE,no sound,no orbit",9/24/07 15:15,35.849514,-106.288482,,
Albuquerque,"Beige object west of Sandia Crest, Albuquerque, NM",5/26/07 23:58,35.199592,-106.644831,,
,2 pictures taken from a airplane of an object up close.,6/4/07 13:00,0,0,,
Lamy,I couldn't sleep and got out of bed at 2AM during the annual Perseid meteor shower.,8/15/05 02:00,35.45554,-105.874452,,
Silver City,Strange happenings on I-25 in New Mexico,6/16/07 03:15,32.853738,-108.330764,,
Albuquerque,saw a blue meteor falling in eorth east ski burnning out twenty seconds later saw bright lite in sky the light fadded out then dissapea,12/3/07 15:35,35.199592,-106.644831,,
El Valle,Bright spherical object turning from white/yellow/orange/red moving NE across sky - just disappeared.,12/3/07 17:30,36.110303,-105.726683,,
Albuquerque,Observed extremely high altidude single bright round light go from bright to dim and slowly float away. ((NUFORC Note:  Irisium??  PD)),12/3/07 17:35,35.199592,-106.644831,,
Springer, north of),The object appeared to be the shape of a giant florescent M and M candy.  It moved left to right across the desert floor then...n to s,8/13/06 01:15,36.36114,-104.59527,
, while fishing),"We didn't here anything, or see anything for that matter until later.",7/15/06 14:30,0,0,
Taos,"segmented flashing formation w/ ""v"" formation of glowing lights leading S. to N.E., Taos NM (Northern NM)",10/1/06 23:15,36.429239,-105.554532,,
Albuquerque,Im not too sure on the time a hour or two after nightfall. So maby 10=11pm. I was in back yard smoking and looking into the south west,5/9/08 00:00,35.199592,-106.644831,,
Deming,Cylindrical object hovering above the car as we traveled in the New Mexico desert.,7/15/84 02:00,32.079682,-107.683073,,
,Black Triangular Craft flew overhead,12/12/06 04:12,0,0,,
Las Cruces,Made me think of UFO.  Unsure what this was.  No camera available.  Solitary witness.,10/15/06 19:00,32.290052,-106.753893,,
Albuquerque,Watched a vee formation of 7 glowing gold chevron/B-1 bomber shaped objects fly silently overhead in night sky.,2/20/07 20:45,35.199592,-106.644831,,
Las Cruces,a hollow blue ball of lighting that turned to a fireball then took and umbrella shape and loomed for a second then disapeared.,5/30/91 09:10,32.290052,-106.753893,,
Rio Rancho,This picture was at first thought and taken as a spiritual vision re:  Virgin Mary.  A closer look (rotated)reveals that it may be a UF,6/1/91,35.268498,-106.783682,,
Albuquerque,"UFO sighted on southern boulevard , on the west mesa in albuquerque.",3/6/07 20:00,35.199592,-106.644831,,
Roswell,dim lights moving in u shaped formation over Roswell,9/5/07 23:55,33.637061,-104.377926,,
Santa Fe,"A bright solid round light above mountain south of Santa Fe, NM.",5/20/08 07:25,35.697473,-105.982146,,
Albuquerque,Witnessed 6-7 jet aircraft following small orange light which became extremely bright and shot off,10/26/07 23:06,35.199592,-106.644831,,
Santa Fe,Many flashing lights in the eastern night sky above Santa Fe,10/27/07 23:00,35.697473,-105.982146,,
,"Unknown bright lights, and triangular shapes over Four Corners, New Mexico",2/1/98 00:30,0,0,,
Youngsville,Nothern New Mexico AM Hunt,11/5/07 05:30,36.18752,-106.55642,,
White Sands Missile Range,"I video something we cannot identify, although there may be a logical explanation",11/6/07 03:40,32.383871,-106.493675,,
Roswell,"The experience left everyone in a quandry, and had the effect of trauma suffered.",8/15/59 15:00,33.637061,-104.377926,,
Santa Fe,"bright orange lights spliting into multiple objects over Santa Fe, NM.",12/24/06 19:30,35.697473,-105.982146,,
Silver City,"UFO With Green, Red, And Blue Lights That Split Into 2, Formed Back Into One, Then Shut Off And Fell From The Sky Followed By 2 Circles",3/12/07 21:00,32.853738,-108.330764,,
Santa Fe,Translucent Spherical object Motionless in sky for extended period,9/13/07 13:50,35.697473,-105.982146,,
Santa Fe,An object with two lights flying across the western sky -- didn't seem like airplane.,3/13/07 21:10,35.697473,-105.982146,,
Las Cruces,Approx. 2200. 11/01/07 large defined bright oval traveled across Las Cruces from East (White Sands) to West before Aggie game ended.,11/1/07 22:00,32.290052,-106.753893,,
Farmington,Slow moving yellow/orange colored lights above Crouch Mesa,8/20/88 23:00,36.740321,-108.178691,,
, in flight),I noticed out of the airplane window while flying from NC to Los Angeles approx. 6:30pm pt until around 6:45pm pt a very unusual light.,9/13/07 18:30,0,0,
Los Alamos,Bright diamond-shaped object,9/13/07 18:35,35.849514,-106.288482,,
Santa Fe,motionless bright lights dimmed and disappeared with the sundown.  ((NUFORC Note:  Possible sighting of Jupiter??  PD)),9/13/07 19:20,35.697473,-105.982146,,
Farmington,"Four objects in  circular reddish moving in the sky over Farmington and Kirtland, NM.",9/13/07 19:30,36.740321,-108.178691,,
Deming,Driving I10 west of Las Cruces NM a random shape object visable for more than 60 mins seem to follow my U-Hall truck.,12/4/95 02:00,32.079682,-107.683073,,
La Luz,"Large Oval shape above tree line, move slow than darts fast, hover, move slow, red light & green lights blinking",3/8/08 02:45,32.985382,-105.923293,,
Deming,Driving I10 west of Las Cruces NM a random shape object visable for more than 60 mins seem to follow my U-Hall truck.,12/4/99 02:00,32.079682,-107.683073,,
Santa Fe,"~1 hour over ABQ, began descent halfway through observation. Three color-changing, pulsing lights that retained formation.",4/30/07 22:03,35.697473,-105.982146,,
Edgewood,Triagular object,3/17/07 14:45,35.06144,-106.19141,,
Albuquerque,high bright red light that disappeared,1/25/08 22:45,35.199592,-106.644831,,
Laguna,The object  was a 3/4 spherical framework.  Size undetermined.  No sound. Drawing attached.,3/10/05 21:00,35.03318,-107.38725,,
San Pedro,Bright white light moving slowly near South Mountain in Santa Fe County,8/20/05 03:30,35.985301,-106.064468,,
Albuquerque,Colorful light 1 mile N. I-40 & Coors,3/13/08 20:45,35.199592,-106.644831,,
Deming,anomaly in the southern new mexico sky,7/9/07 05:05,32.079682,-107.683073,,
,anomaly in the western sky in southwest New Mexico,7/9/07 05:05,0,0,,
Vaughn, south of),"12+ pulsing red lights, low on ground.  Could be distant radio towers, but some things don't fit.",2/18/08 20:30,34.600841,-105.205826,
,Thought it was a shooting star but it kept getting larger then stopped and disappeared,3/16/08 03:00,0,0,,
Melrose,aircraft following unknown object,9/13/06 20:45,34.50512,-103.564506,,
Aztec,((HOAX??))  Aztec crash??  ((anonymous report)),11/8/07 23:30,36.842198,-107.818288,,
,"Bright White Cigar Shaped Craft Hovered Near Bisti and Took Off, Left No Trace.",9/21/07 10:34,0,0,,
Albuquerque,"Bright White disk shape hovering, then suddeny dissapears. Very shocking.",9/21/07 12:20,35.199592,-106.644831,,
Albuquerque,Bright stationary circular object in high atmosphere in broad daylight gives way to five smaller moving crescents,6/8/08 19:30,35.199592,-106.644831,,
Ruidoso,"Ruidoso, Mexico observed a light object followed by an aircraft traveling west to east it was a sphere bright in color",6/8/08 20:20,33.347226,-105.680284,,
Las Cruces,Triangular UFO with tentacles.,3/25/07 15:10,32.290052,-106.753893,,
Roswell,((HOAX))  I WAS AROUND SEVEN YEARS OLD WE WERE COMING HOME AROUND EIGHT AT NIGHT.,6/9/08,33.637061,-104.377926,,
Santa Fe,Venus moves by itself?,3/25/07 21:05,35.697473,-105.982146,,
La Mesilla,Saw a light above & to right of moon that moved steadily at a very low rate of speed to L of moon.  ((NUFORC Note:  Jupiter?  PD)),9/22/07 17:30,35.948358,-106.070579,,
Albuquerque,Small flashing white light & large fast white oval......,3/23/08 12:55,35.199592,-106.644831,,
Santa Fe,"Pretty large, very bright, white ball with flames coming out, caused power to go out in friend's house.",2/22/08 18:50,35.697473,-105.982146,,
Las Cruces,Saw 2 white lights fly very close to airplane then disappear by fading away.,3/24/08 20:45,32.290052,-106.753893,,
Clovis,bright disk shaped object going down,5/13/07 23:00,34.497241,-103.294978,,
Albuquerque,light in sky - disappears,11/15/07 13:15,35.199592,-106.644831,,
Albuquerque,"a very birght and steady light at high altitude moving from south to north over Albuquerque, NM at a high rate of speed.",3/26/08 20:00,35.199592,-106.644831,,
Las Cruces,"Two unexplainable lights over  the southern horizon near Las Cruces, New Mexico.",3/28/08 00:05,32.290052,-106.753893,,
Santa Fe,We saw a triangular shaped object moving across the sky.,2/27/08 22:30,35.697473,-105.982146,,
Los Lunas,Large bright orange light in the northern sky twards Albuquerque.,3/29/08 00:05,34.76577,-106.712287,,
Tijeras,Triangle Ufo,2/11/08 23:00,35.035534,-106.275342,,
Albuquerque,Bright light moving south and dimming out.,11/5/06 16:35,35.199592,-106.644831,,
Albuquerque,5 u.f.o objects seen in sky.One comes close to ground where i ride a bicycle .In daytime.,11/4/98 15:30,35.199592,-106.644831,,
Santa Fe,Bright blue and yellow glowing orb streaking accross the sky at warp-speed,4/25/07 23:30,35.697473,-105.982146,,
Albuquerque,3 UFOs seen in one weekend,9/30/06 19:00,35.199592,-106.644831,,
Las Cruces,09/30/06 Las Cruces NM Triangle spoted under the Pleiades for 30 min,9/30/06 23:00,32.290052,-106.753893,,
Rio Rancho,From inside my home I witnessed an oval shaped green light travel low and slow from my window. It was completely silent.,10/1/06 01:00,35.268498,-106.783682,,
Taos,Two bright objects traveling from south to the north disappeared,10/4/07 05:20,36.429239,-105.554532,,
Albuquerque,white round object motionless over albuwuerque,5/28/07 07:30,35.199592,-106.644831,,
Santa Fe,Several bright lights headed slowly towards horizon,10/1/06 22:00,35.697473,-105.982146,,
Silver City,"UFO over Silver City, New Mexico at very low altitude.",10/1/06 23:00,32.853738,-108.330764,,
Glorieta,"Large, meteor-type light seen near Santa Fe, NM.",10/1/06 23:00,35.57738,-105.75228,,
Cerrillos,"White fireball on huge object flying horizonally before changing colors, emitting orange balls of light and evaporating.",10/1/06 23:15,35.43782,-106.12252,,
Albuquerque,Multi colored object(s) and one object emitting white light only in the Far West Mesa area,5/30/07 22:00,35.199592,-106.644831,,
Santa Fe,"about 23:15   sunday, 10/1/06--a slow-moving horizontal strip of white light that shown into my room and then truned blue and moved off",10/1/06 23:15,35.697473,-105.982146,,
Raton,7 bright lights over northeast new mexico,10/1/06 23:20,36.90336,-104.43915,,
Raton,Seven Bright Lights in New Mexico Skies,10/1/06 23:20,36.90336,-104.43915,,
Farmington,a bright lights traveling very fast with a green tail that exploded into four lights!,10/1/06 23:32,36.740321,-108.178691,,
San Antonio,ON SUNDAY 10 01 06 MY WIFE AND I WERE DRIVING HOME FROM WHITE RUIDOSO NEW MEXICO. APPROXIMATLEY AT 11:20 PM I NOTICED OFF TO MY LEFT BO,10/1/06 23:40,33.766896,-106.821217,,
Las Vegas,Possible UFO over Santa Fe/Los Alamos,10/2/06 03:00,35.593458,-105.230698,,
Santa Fe,Fiery object moving south to north which separated into approx 5 small objects which trailed it in a straight line,10/3/06 23:15,35.697473,-105.982146,,
Clovis,Looked like a bright star moving quite fast,8/3/07 08:50,34.497241,-103.294978,,
Albuquerque,floating light over desert,4/20/07 01:50,35.199592,-106.644831,,
Albuquerque,Crescent-shaped object observed,11/18/06 22:50,35.199592,-106.644831,,
Truth Or Consequences,Looked like a Fourth Of July sparkler--like a colored pinwheel.,11/20/06 23:00,33.160602,-107.266914,,
Carlsbad,"2 red-orange ""dots""& one white ""dot"" over Carlsbad, New Mexico...",6/17/06 17:30,32.416897,-104.46539,,
Carlsbad,STATIONARY BLINKING  SOS OR MORRIS CODE MESSAGE FROM SPACE,6/17/06 21:30,32.416897,-104.46539,,
Pie Town,"Object the color, magnitude, size of Jupiter  appeared, was still and then moved at steady speed south to north",6/18/06 21:23,34.29839,-108.13478,,
Albuquerque,"Cobalt blue sphere being chased at hight speed SE to NW from ABQ, New Mexico juxtaposition @ aprox. 9:30-9:35pm.",3/1/07 21:35,35.199592,-106.644831,,
Silver City,Dark red Saucer follows Military aircraft.,3/5/07 19:40,32.853738,-108.330764,,
Silver City,Very faint flashing strobe.,10/16/06 21:05,32.853738,-108.330764,,
Albuquerque,A wedge formation of seven garden spade shaped craft.,10/18/06 00:40,35.199592,-106.644831,,
Albuquerque,"UFO Sampling Jets Contrail at 39,000 feet",12/5/06 11:45,35.199592,-106.644831,,
Valencia,rectangular bright white object falling from night sky,12/8/06 21:50,34.7995,-106.700304,,
Glorieta,"Solid, bright white and red rectangular object fall from night sky near Glorieta, New Mexico",12/8/06 21:50,35.57738,-105.75228,,
Farmington,Brilliant White Object Parallels the southern horizon.,12/5/06 18:17,36.740321,-108.178691,,
Silver City,"2 ufo sightings silver city new mexico July 12, 2006",7/12/06 05:15,32.853738,-108.330764,,
Tularosa,"Flying Object Crash by Tularosa,NM around 18:00 hours",12/13/06 18:07,33.172467,-105.960356,,
,"Whitesh Grey creature in southern new mexico,  ON I-10 Just east of a  a rest  stop",8/14/08 12:03,0,0,,
Santa Fe,Odd lights - objects in sky.,7/17/09 00:00,35.697473,-105.982146,,
Roswell,"Link to declassified, redacted, USAF document (March 22, 1950),  which alludes to UFO recovery at Roswell, NM.",3/22/50,33.637061,-104.377926,,
Roswell,Roswell dates vs. USAF Question,7/7/47,33.637061,-104.377926,,
Clovis,"it blocked out the stars as it slowly tracked across town towards Cannon AFB, so I could make out its giant triangular shape easily",9/15/83 21:00,34.497241,-103.294978,,
Los Alamos,I just read the siting report that you attributed to 1973.,6/30/73,35.849514,-106.288482,,
,metalic orb huvering above the ground in new mexico,6/1/89 00:00,0,0,,
Santa Fe,While driving on hwy from east of Santa Fe to Albuquerque I observed large bright white triangular object high in sky for over 2 hours.,5/28/90 17:00,35.697473,-105.982146,,
White Sands Missile Range,"Large, unusually-shaped metallic object over White Sands NM, May 1995",5/1/95 12:00,32.383871,-106.493675,,
Albuquerque,It was pale yellow and orange in a traingle shape.,8/14/04 16:00,35.199592,-106.644831,,
Bernalillo,"Pearlescent, teardrop object stationary in sky for two hours, turns red and disappears at night fall",9/19/09 17:15,35.30004,-106.55114,,
Santa Fe,Stationary bright white non-twinkling light in sunny late aftenoon in the expansive Sante Fe NM sky.,5/31/08 17:00,35.697473,-105.982146,,
,Bright light turning into a tiny red dot in the New Mexico skies,8/1/03 19:30,0,0,,
Albuquerque,"gloing ball, no sound",8/10/03 14:00,35.199592,-106.644831,,
,"We were flying to Ontario, California from Atlanta, Georgia and were about 1 1/2 hours away from landing. My guess is we were over New",6/20/08 10:00,34.434684,-106.131618,,
,"The 2 orange spheres just stayed in place and one would flash bright then the other, they didn't move other than that.",8/30/08 21:00,0,0,,
Roswell,"09/08/08  Roswell, NM  Light (object reflecting setting sun light)  still, then dash e/se in less than one sec.to horizon",8/9/08 19:03,33.637061,-104.377926,,
Las Cruces,"On April 23, 2009 I saw three objects with bright lights that follow our vechicle on the freeway.",5/24/09 02:15,32.290052,-106.753893,,
Portales,Massive bright lights over the plains of New Mexico on a object that is not normal in this world .,6/1/09 21:03,34.076964,-103.352595,,
Dulce,"Flashlight looking lights looking for something in feild in Dulce, New Mexico.",6/2/09 00:40,36.934793,-106.995107,,
Placitas,Very large star like object dropped three smaller bright objects.,9/20/09 06:00,35.275451,-106.462126,,
Roswell,"Single UFO flying at night splits into 2, then regroups back into 1 in skies over the desert near Roswell, NM",6/10/09 21:10,33.637061,-104.377926,,
Las Cruces,SOMETHING ON FIRE MOVING RAPIDLY AWAY SILENTLY AND DISAPPEARING,8/22/08 20:30,32.290052,-106.753893,,
Albuquerque,Super fast neon rectangle being chased by Air Force jets.,11/3/08 00:00,35.199592,-106.644831,,
Deming,Just a large round silver disk and acorn type craft hovering low in around the center of Deming in around 1965.,6/1/65 05:00,32.079682,-107.683073,,
Albuquerque,"Three spheres of light connected in a club like shape, lower lights soft whitish, upper light yellowish orangish traveling silently.",1/16/09 18:30,35.199592,-106.644831,,
Mount Dora,I seen a bright green light with a green streak behind it headed toward the ground at a massive speed. I looked for an impact but their,11/8/08 04:00,36.369783,-103.505541,,
Vaughn,"Trucker witnesses very large, unlighted triangle hover above his truck.",6/23/09 23:00,34.600841,-105.205826,,
,"colors shined where can tell the shape of the craft, the tip was the front and the circle was the back with fire coming out of it u",10/9/09 23:00,0,0,,
Alamogordo,"strange, amber lights unlike conventional airplane lights",4/21/93 19:30,32.870046,-105.948967,,
Bernalillo,"Hello! I happened to find this site, and decided to report my observation which took place quite a few months ago while in New Mexico.",4/10/09 23:50,35.30004,-106.55114,,
Rio Rancho,Hovering ship 15 feet above headand missing time - propulsion of ship gave off no heat,6/18/03 18:15,35.268498,-106.783682,,
Las Cruces,White disk hover over New Mexico,6/2/06 04:00,32.290052,-106.753893,,
Vaughn,Flashing Lights Surround MY PU TRU:CK,9/1/88 21:00,34.600841,-105.205826,,
Tucumcari,"Object was not a weather balloon, or any known aircraft.",10/15/09 18:00,35.114202,-103.615509,,
Quemado,Color changing sphere in the sky for about 45 minutes,9/3/08 22:37,34.34394,-108.49562,,
,Two Tandem Bright Reflective Objects Traveling Southeasterly,11/26/09 17:30,0,0,,
,I was standing next to a Big Red glowing lava Moon that was turning off and on creating a storm.,6/6/07 00:00,0,0,,
Albuquerque,"UFO Sighted at school in Albuquerque, NM",1/28/09 12:05,35.199592,-106.644831,,
Roswell,bright blue illuminating object  above the buildings hanging out in the sky changed shapes and colors,9/15/08 18:30,33.637061,-104.377926,,
Stanley,stanley and edgwood ufo seen low and obveous,12/19/09 18:00,35.22779,-105.977313,,
Stanley,hot spot for activity ufos every night.,12/21/09 00:00,35.22779,-105.977313,,
Gladstone,Extremely close large object hovering over side of road with immense lighting in unworldly strobe motion suddenly object was miles away,1/31/09 02:30,36.345307,-103.991533,,
Las Cruces,Two seperate lights hovering and moving in circular motion.,11/21/08 22:00,32.290052,-106.753893,,
Belen,Observed 4 light formation blinking red/green at a frequency of 1 per second approx 20 miles ESE of belen nm altitude approx 10000 ft.,10/31/09 11:15,34.651051,-106.695247,,
Rio Rancho,A fireball in the sky,3/3/10 06:15,35.268498,-106.783682,,
Farmington,Strange saucer like object with red flashing lights decending slowly from moon,11/6/09 21:45,36.740321,-108.178691,,
,"Pictures of a landscape in New Mexico where my husband and father-in-law were hunting, in the pictures unidetified objects are seen.",10/25/03 13:00,0,0,,
